,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,datetime,running,queued,transferring,queue_occupancy,finished,failed,queue_efficiency,Avg tombstone,Difference,Free(storage),Min space,Primary diff,Quota(other),Total(storage),Unlocked,Used(dark),Used(other),Used(rucio),SARA-MATRIX_DATADISK_distance
44,LRZ-LMU,LRZ-LMU,LRZ-LMU_DATADISK,DE,2,9.761,8.0,0,2000,09-28-2021,1547,1055,40,1.45,2067.0,508.0,0.8027,41.78,131.6,346.63,215.03,219.05,0.0,2150.32,291.33,3.1,0.0,1800.58,3
45,HONGKONG,HK-LCG2,BEIJING-LCG2_DATADISK,FR,2,10.0,8.0,0,6000,09-28-2021,1126,109,180,9.47,1084.0,61.0,0.9467,44.46,0.24,37.24,37.0,-153.59,0.0,370.0,248.95,15.4,0.0,317.36,5
46,IEPSAS-Kosice,IEPSAS-Kosice,IEPSAS-KOSICE_DATADISK,DE,2,15.96,8.0,0,2000,09-28-2021,209,140,46,1.4,860.0,20.0,0.9773,62.07,71.03,179.27,108.23,-307.69,0.0,1082.35,617.2,-55.84,0.0,958.92,5
47,IFIC,IFIC-LCG2,IFIC-LCG2_DATADISK,ES,2,12.968,8.0,0,2000,09-28-2021,2154,885,365,1.85,7946.0,321.0,0.9612,6.16,5.81,265.81,260.0,632.61,0.0,2600.0,194.12,-52.55,0.0,2386.74,3
48,IFIC_MareNostrum4,IFIC-LCG2,IFIC-LCG2_DATADISK,ES,2,16.75,48.0,0,2000,09-28-2021,74,89,115,0.0,367.0,12.0,0.9683,6.16,5.81,265.81,260.0,632.61,0.0,2600.0,194.12,-52.55,0.0,2386.74,3
49,IL-TAU,IL-TAU-HEP,TECHNION-HEP_DATADISK,NL,2,10.0,8.0,0,2000,09-28-2021,452,63,49,6.21,1102.0,512.0,0.6828,18.23,625.58,823.08,197.5,-541.8,0.0,1975.0,492.26,16.45,0.0,1135.46,5
50,TECHNION,TECHNION-HEP,TECHNION-HEP_DATADISK,NL,2,11.75,8.0,0,2000,09-28-2021,1091,201,176,5.18,2251.0,28.0,0.9877,18.23,625.58,823.08,197.5,-541.8,0.0,1975.0,492.26,16.45,0.0,1135.46,5
51,WEIZMANN,WEIZMANN-LCG2,TECHNION-HEP_DATADISK,NL,2,11.75,8.0,0,2000,09-28-2021,308,507,225,0.6,1646.0,50.0,0.9705,18.23,625.58,823.08,197.5,-541.8,0.0,1975.0,492.26,16.45,0.0,1135.46,5
52,IN2P3-CC,IN2P3-CC,IN2P3-CC_DATADISK,FR,1,11.89,8.0,0,1500,09-28-2021,9407,1841,1304,5.08,12157.0,582.0,0.9543,23.29,32.72,332.72,300.0,2037.76,862.0,13968.2,3530.38,-6.65,210.27,13431.85,3
53,IN2P3-CPPM,IN2P3-CPPM,IN2P3-CPPM_DATADISK,FR,2,10.88,8.0,0,2000,09-28-2021,3012,1039,169,2.87,3282.0,80.0,0.9762,13.49,10.95,234.16,223.2,499.59,0.0,2232.01,157.14,1.92,0.0,1995.93,4
54,IN2P3-LAPP,IN2P3-LAPP,IN2P3-LAPP_DATADISK,FR,2,11.5,8.0,0,2000,09-28-2021,3707,245,369,14.54,5031.0,203.0,0.9612,15.51,59.96,347.82,287.85,570.42,0.0,2878.52,249.32,-16.15,0.0,2546.86,4
55,IN2P3-LPC,IN2P3-LPC,IN2P3-LPC_DATADISK,FR,2,12.092,8.0,0,2000,09-28-2021,2115,273,136,7.48,2865.0,42.0,0.9856,51.38,1.82,170.04,168.23,-481.12,0.0,1682.25,986.77,-2.79,0.0,1515.0,4
56,IN2P3-LPC-MUC2A,IN2P3-LPC,IN2P3-LPC_DATADISK,FR,3,10.0,8.0,0,2000,09-28-2021,241,148,54,1.53,212.0,6.0,0.9725,51.38,1.82,170.04,168.23,-481.12,0.0,1682.25,986.77,-2.79,0.0,1515.0,4
57,IN2P3-LPSC,IN2P3-LPSC,IN2P3-LPSC_DATADISK,FR,2,11.384,8.0,0,2000,09-28-2021,1178,248,59,4.57,1025.0,13.0,0.9875,61.39,18.75,132.0,113.25,-288.16,0.0,1132.5,593.9,15.25,0.0,985.24,3
58,INFN-CNAF,INFN-T1,INFN-T1_DATADISK,IT,1,11.25,8.0,0,2000,09-28-2021,2263,2147,704,1.05,4786.0,140.0,0.9716,13.12,102.18,402.18,300.0,1721.6,0.0,6700.0,550.91,5.31,0.0,6292.51,3
59,INFN-COSENZA-RECAS,INFN-COSENZA,INFN-COSENZA_DATADISK,IT,3,8.503,8.0,0,2000,09-28-2021,1463,31,434,35.71,2142.0,5.0,0.9977,23.99,0.34,33.32,32.99,-184.14,0.0,329.85,232.65,50.11,0.0,246.42,5
60,INFN-FRASCATI,INFN-FRASCATI,INFN-FRASCATI_DATADISK,IT,2,11.04,8.0,0,2000,09-28-2021,986,211,96,4.47,761.0,6.0,0.9922,43.31,36.2,190.14,153.93,-432.9,0.0,1539.32,821.36,37.13,0.0,1312.05,4
61,INFN-GENOVA,INFN-GENOVA,INFN-GENOVA_DATADISK,IT,3,10.0,8.0,0,2000,09-28-2021,70,100,19,0.65,117.0,52.0,0.6923,5.65,1.58,2.46,0.88,-5.18,0.0,8.8,6.23,0.01,0.0,6.33,6
62,INFN-MILANO-ATLASC,INFN-MILANO-ATLASC,INFN-MILANO-ATLASC_DATADISK,IT,2,12.452,8.0,0,2000,09-28-2021,1304,466,123,2.74,1406.0,147.0,0.9053,234.23,279.89,444.82,164.93,-486.62,0.0,1649.27,697.29,4.22,0.0,1200.23,4
63,INFN-NAPOLI-ATLAS,INFN-NAPOLI-ATLAS,INFN-NAPOLI-ATLAS_DATADISK,IT,2,9.84,8.0,0,2000,09-28-2021,888,281,32,3.05,1674.0,191.0,0.8976,17.32,26.21,237.64,211.43,466.6,90.0,2199.02,154.18,-9.52,84.71,1886.19,4
64,INFN-ROMA1,INFN-ROMA1,INFN-ROMA1_DATADISK,IT,2,10.818,8.0,0,2000,09-28-2021,3083,137,136,20.98,4284.0,142.0,0.9679,4.61,57.5,216.93,159.43,365.31,0.0,1594.29,35.71,19.76,0.0,1357.59,5
