,queue,site,rse,cloud,tier_level,corepower,corecount,nodes,transferringlimit,free_gb,datetime
128,RRC-KI-T1,RRC-KI-T1,RRC-KI-T1_DATADISK,RU,1,15.5,8.0,0,2000,396671.02,09-28-2021
129,SAMPA,SAMPA,PIC_DATADISK,ES,2,13.6,8.0,0,2000,300788.04,09-28-2021
130,SAMPA,SAMPA,SAMPA_DATADISK,ES,2,13.6,8.0,0,2000,110819.66,09-28-2021
131,SARA-MATRIX,SARA-MATRIX,SARA-MATRIX_DATADISK,NL,1,17.13,4.0,0,2000,280458.17,09-28-2021
132,SLAC,WT2,SLACXRD_DATADISK,US,3,20.05,4.0,2,2000,40093.45,09-28-2021
133,SLAC_ES,WT2,SLACXRD_DATADISK,US,3,20.05,4.0,2,2000,40093.45,09-28-2021
134,SWT2_CPB,SWT2_CPB,SWT2_CPB_DATADISK,US,2,10.43,8.0,2,3000,277760.94,09-28-2021
135,SiGNET,SiGNET,NDGF-T1_DATADISK,ND,2,9.8,16.0,0,2000,277802.69,09-28-2021
136,SiGNET-NSC,SiGNET,NDGF-T1_DATADISK,ND,2,9.8,16.0,0,2000,277802.69,09-28-2021
137,SiGNET-NSC_MCORE,SiGNET,NDGF-T1_DATADISK,ND,2,9.8,16.0,0,2000,277802.69,09-28-2021
138,TACC-FRONTERA-UCORE,TACC,BNLHPC_DATADISK,US,3,15.5,8.0,800,2000,24709.27,09-28-2021
139,TECHNION,TECHNION-HEP,TECHNION-HEP_DATADISK,NL,2,11.75,8.0,0,2000,766556.04,09-28-2021
140,TOKYO,TOKYO-LCG2,TOKYO-LCG2_DATADISK,FR,2,18.27,8.0,0,4000,336332.12,09-28-2021
141,TOKYO_HPC,TOKYO-LCG2,TOKYO-LCG2_DATADISK,FR,2,18.27,48.0,0,4000,336332.12,09-28-2021
142,TR-10-ULAKBIM_UCORE,TR-10-ULAKBIM,TR-10-ULAKBIM_DATADISK,NL,2,17.5,8.0,0,2000,73758.28,09-28-2021
143,TRIUMF,TRIUMF-LCG2,TRIUMF-LCG2_DATADISK,CA,1,19.309,8.0,0,5000,294341.9,09-28-2021
144,TRIUMF_SIM,TRIUMF-LCG2,TRIUMF-LCG2_DATADISK,CA,1,19.309,6.0,0,2000,294341.9,09-28-2021
145,TW-FTT,TW-FTT,TAIWAN-LCG2_DATADISK,TW,2,10.14,8.0,0,2000,2433188.47,09-28-2021
146,Taiwan-LCG2,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,12.72,8.0,0,3000,2433188.47,09-28-2021
147,Taiwan-LCG2-HPC2_Unified,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,16.27,8.0,0,3000,2433188.47,09-28-2021
148,Taiwan-LCG2-HPC_Unified,Taiwan-LCG2,TAIWAN-LCG2_DATADISK,TW,1,16.27,8.0,0,3000,2433188.47,09-28-2021
