"RSE","ACTIVITY","N_REQUESTS","GB","SITE","CLOUD"
UKI-SCOTGRID-ECDF_DATADISK,Functional Test,6,0.01,UKI-SCOTGRID-ECDF,UK
CA-VICTORIA-WESTGRID-T2_DATADISK,Functional Test,10,0.01,CA-VICTORIA-WESTGRID-T2,CA
GRIF-IRFU_DATADISK,Production Input,66,158.37,GRIF-IRFU,FR
RO-07-NIPNE_DATADISK,Functional Test,14,0.01,RO-07-NIPNE,FR
CA-VICTORIA-WESTGRID-T2_DATADISK,Production Output,4,2.58,CA-VICTORIA-WESTGRID-T2,CA
NIKHEF_DATADISK,Express,2,3.03,NIKHEF,NL
DESY-HH_DATADISK,Analysis Input,19,6.59,DESY-HH,DE
INFN-T1_DATADISK,Staging,35,8.39,INFN-T1,IT
IN2P3-LAPP_DATADISK,Data Consolidation,19,135.99,IN2P3-LAPP,FR
GRIF-IRFU_DATADISK,Functional Test,10,0.01,GRIF-IRFU,FR
CERN-PROD_DATADISK,Data rebalancing,16,81.93,CERN-PROD,CERN
CA-WATERLOO-T2_DATADISK,Production Input,3,2.33,CA-WATERLOO-T2,CA
RU-PROTVINO-IHEP_DATADISK,Production Output,6,0.02,RU-Protvino-IHEP,RU
UNI-FREIBURG_DATADISK,Analysis Input,37,20.47,UNI-FREIBURG,DE
UKI-SOUTHGRID-RALPP_DATADISK,Production Output,2,0.86,UKI-SOUTHGRID-RALPP,UK
UKI-NORTHGRID-LANCS-HEP_DATADISK,User Subscriptions,1,0,UKI-NORTHGRID-LANCS-HEP,UK
MWT2_DATADISK,Production Output,4,1.85,MWT2,US
SARA-MATRIX_DATADISK,T0 Export,3,23.27,SARA-MATRIX,NL
UKI-NORTHGRID-LANCS-HEP_DATADISK,Analysis Input,11,30.4,UKI-NORTHGRID-LANCS-HEP,UK
INFN-FRASCATI_DATADISK,Functional Test,7,0.01,INFN-FRASCATI,IT
IN2P3-CC_DATADISK,Production Input,9,6.34,IN2P3-CC,FR
CSCS-LCG2_DATADISK,Analysis Input,21,7.18,CSCS-LCG2,DE
NET2_DATADISK,Staging,1,0.33,BU_ATLAS_Tier2,US
IEPSAS-KOSICE_DATADISK,Production Output,5,3.43,IEPSAS-Kosice,DE
SWT2_CPB_DATADISK,Production Input,7,8.99,SWT2_CPB,US
SARA-MATRIX_DATADISK,Functional Test,24,0.02,SARA-MATRIX,NL
GRIF-LPNHE_DATADISK,Analysis Input,98,140.09,GRIF-LPNHE,FR
MWT2_DATADISK,Production Input,1,1.89,MWT2,US
NIKHEF_DATADISK,Data Consolidation,3,0.5,NIKHEF,NL
UKI-NORTHGRID-LANCS-HEP_DATADISK,Production Output,1,0,UKI-NORTHGRID-LANCS-HEP,UK
BEIJING-LCG2_DATADISK,Production Output,1,0,BEIJING-LCG2,FR
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,User Subscriptions,1,0,UKI-SCOTGRID-GLASGOW,UK
WUPPERTALPROD_DATADISK,Analysis Input,2,6.99,wuppertalprod,DE
UKI-SCOTGRID-ECDF_DATADISK,Analysis Input,10,11.2,UKI-SCOTGRID-ECDF,UK
RU-PROTVINO-IHEP_DATADISK,Data rebalancing,223,369.85,RU-Protvino-IHEP,RU
SWT2_CPB_DATADISK,Data rebalancing,213,558.86,SWT2_CPB,US
IN2P3-LPSC_DATADISK,Data rebalancing,165,278.35,IN2P3-LPSC,FR
BNL-OSG2_DATADISK,Staging,1403,1074.84,BNL-ATLAS,US
RAL-LCG2-ECHO_DATADISK,Production Output,4187,3765.72,RAL-LCG2,UK
NDGF-T1_DATADISK,Staging,7504,26643.24,NDGF-T1,ND
IN2P3-CC_DATADISK,Staging,14538,12845.29,IN2P3-CC,FR
DESY-ZN_DATADISK,Analysis Input,73,63.07,DESY-ZN,DE
IN2P3-CC_DATADISK,User Subscriptions,340,580.28,IN2P3-CC,FR
TRIUMF-LCG2_DATADISK,T0 Export,345,1950.22,TRIUMF-LCG2,CA
TRIUMF-LCG2_DATADISK,Staging,1548,3438.45,TRIUMF-LCG2,CA
RAL-LCG2-ECHO_DATADISK,Functional Test,1154,1.13,RAL-LCG2,UK
RRC-KI-T1_DATADISK,Analysis Input,988,222.92,RRC-KI-T1,RU
TRIUMF-LCG2_DATADISK,Production Output,3002,6139.24,TRIUMF-LCG2,CA
PIC_DATADISK,Production Input,615,3113.73,pic,ES
INFN-T1_DATADISK,Data Consolidation,7,14.74,INFN-T1,IT
CERN-PROD_DATADISK,Production Output,52,22.21,CERN-PROD,CERN
