"SOURCE","DEST","SRC_SITE","DEST_SITE","SRC_CLOUD","DEST_CLOUD","AGIS_DISTANCE"
GRIF-LPNHE_DATADISK,GRIF-LPNHE_DATADISK,GRIF-LPNHE,GRIF-LPNHE,FR,FR,0
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW,UKI-SCOTGRID-GLASGOW,UK,UK,0
UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SCOTGRID-GLASGOW,,UK,,0
IN2P3-CPPM_DATADISK,IN2P3-CPPM_DATADISK,IN2P3-CPPM,IN2P3-CPPM,FR,FR,0
UKI-SCOTGRID-GLASGOW_DATADISK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,,UKI-SCOTGRID-GLASGOW,,UK,0
IL-TAU-HEP_DATADISK,IL-TAU-HEP_DATADISK,,,,,0
UKI-LT2-RHUL_DATADISK,UKI-LT2-RHUL_DATADISK,UKI-LT2-RHUL,UKI-LT2-RHUL,UK,UK,0
IN2P3-CC_DATADISK,IN2P3-CC_DATADISK,IN2P3-CC,IN2P3-CC,FR,FR,0
ZA-CHPC_DATADISK,ZA-CHPC_DATADISK,,,,,0
INFN-FRASCATI_DATADISK,INFN-FRASCATI_DATADISK,INFN-FRASCATI,INFN-FRASCATI,IT,IT,0
IN2P3-LPSC_DATADISK,IN2P3-LPSC_DATADISK,IN2P3-LPSC,IN2P3-LPSC,FR,FR,0
IN2P3-LPC_DATADISK,IN2P3-LPC_DATADISK,IN2P3-LPC,IN2P3-LPC,FR,FR,0
INFN-ROMA1_DATADISK,INFN-ROMA1_DATADISK,INFN-ROMA1,INFN-ROMA1,IT,IT,0
INFN-NAPOLI-ATLAS_DATADISK,INFN-NAPOLI-ATLAS_DATADISK,INFN-NAPOLI-ATLAS,INFN-NAPOLI-ATLAS,IT,IT,0
INFN-MILANO-ATLASC_DATADISK,INFN-MILANO-ATLASC_DATADISK,INFN-MILANO-ATLASC,INFN-MILANO-ATLASC,IT,IT,0
JINR-LCG2_DATADISK,JINR-LCG2_DATADISK,JINR-LCG2,JINR-LCG2,RU,RU,0
INFN-T1_DATADISK,INFN-T1_DATADISK,INFN-T1,INFN-T1,IT,IT,0
MPPMU_DATADISK,MPPMU_DATADISK,MPPMU,MPPMU,DE,DE,0
LRZ-LMU_DATADISK,LRZ-LMU_DATADISK,LRZ-LMU,LRZ-LMU,DE,DE,0
NCG-INGRID-PT_DATADISK,NCG-INGRID-PT_DATADISK,NCG-INGRID-PT,NCG-INGRID-PT,ES,ES,0
NDGF-T1_DATADISK,NDGF-T1_DATADISK,NDGF-T1,NDGF-T1,ND,ND,0
MWT2_DATADISK,MWT2_DATADISK,MWT2,MWT2,US,US,0
NIKHEF-ELPROD_DATADISK,NIKHEF-ELPROD_DATADISK,,,,,0
NET2_DATADISK,NET2_DATADISK,BU_ATLAS_Tier2,BU_ATLAS_Tier2,US,US,0
PIC_DATADISK,PIC_DATADISK,pic,pic,ES,ES,0
PRAGUELCG2_DATADISK,PRAGUELCG2_DATADISK,praguelcg2,praguelcg2,DE,DE,0
RO-07-NIPNE_DATADISK,RO-07-NIPNE_DATADISK,RO-07-NIPNE,RO-07-NIPNE,FR,FR,0
PSNC_DATADISK,PSNC_DATADISK,,,,,0
RU-PROTVINO-IHEP_DATADISK,RU-PROTVINO-IHEP_DATADISK,RU-Protvino-IHEP,RU-Protvino-IHEP,RU,RU,0
RRC-KI-T1_DATADISK,RRC-KI-T1_DATADISK,RRC-KI-T1,RRC-KI-T1,RU,RU,0
SLACXRD_DATADISK,SLACXRD_DATADISK,WT2,WT2,US,US,0
SARA-MATRIX_DATADISK,SARA-MATRIX_DATADISK,SARA-MATRIX,SARA-MATRIX,NL,NL,0
CERN-PROD_DATADISK,SARA-MATRIX_DATADISK,CERN-PROD,SARA-MATRIX,CERN,NL,1
CERN-PROD-RUCIOTEST_DATADISK,SARA-MATRIX_DATADISK,CERN-PROD,SARA-MATRIX,CERN,NL,1
CERN-PROD_DATADISK,BNL-OSG2_DATADISK,CERN-PROD,BNL-ATLAS,CERN,US,1
CERN-PROD-RUCIOTEST_DATADISK,BNL-OSG2_DATADISK,CERN-PROD,BNL-ATLAS,CERN,US,1
CERN-PROD-RUCIOTEST_DATADISK,IN2P3-CC_DATADISK,CERN-PROD,IN2P3-CC,CERN,FR,1
CERN-PROD_DATADISK,IN2P3-CC_DATADISK,CERN-PROD,IN2P3-CC,CERN,FR,1
CERN-PROD-RUCIOTEST_DATADISK,TOKYO-LCG2_DATADISK,CERN-PROD,TOKYO-LCG2,CERN,FR,2
CERN-PROD-RUCIOTEST_DATADISK,TRIUMF-LCG2_DATADISK,CERN-PROD,TRIUMF-LCG2,CERN,CA,2
CERN-PROD-RUCIOTEST_DATADISK,UKI-LT2-QMUL_DATADISK,CERN-PROD,UKI-LT2-QMUL,CERN,UK,2
CERN-PROD-RUCIOTEST_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,CERN-PROD,UKI-NORTHGRID-MAN-HEP,CERN,UK,2
CERN-PROD-RUCIOTEST_DATADISK,RRC-KI-T1_DATADISK,CERN-PROD,RRC-KI-T1,CERN,RU,2
CERN-PROD_DATADISK,NET2_DATADISK,CERN-PROD,BU_ATLAS_Tier2,CERN,US,2
CERN-PROD_DATADISK,AGLT2_DATADISK,CERN-PROD,AGLT2,CERN,US,2
CERN-PROD_DATADISK,DESY-HH_DATADISK,CERN-PROD,DESY-HH,CERN,DE,2
CERN-PROD_DATADISK,DESY-ZN_DATADISK,CERN-PROD,DESY-ZN,CERN,DE,2
CERN-PROD_DATADISK,FZK-LCG2_DATADISK,CERN-PROD,FZK-LCG2,CERN,DE,2
CERN-PROD_DATADISK,IFIC-LCG2_DATADISK,CERN-PROD,IFIC-LCG2,CERN,ES,2
CERN-PROD_DATADISK,UKI-LT2-QMUL_DATADISK,CERN-PROD,UKI-LT2-QMUL,CERN,UK,2
CERN-PROD_DATADISK,UKI-NORTHGRID-MAN-HEP_DATADISK,CERN-PROD,UKI-NORTHGRID-MAN-HEP,CERN,UK,2
CERN-PROD_DATADISK,UKI-SCOTGRID-GLASGOW_DATADISK,CERN-PROD,,CERN,,2
