,datetime,queue,running,queued,transferring,queue_occupancy,queue_efficiency,site,cloud,rse
23,2021-09-19,GRIF-LPNHE,724,591,145,1.225,0.9925,GRIF,FR,GRIF-LPNHE_DATADISK
24,2021-09-19,NET2,1693,1382,291,1.225,0.5498,BU_ATLAS_Tier2,US,NESE_DATADISK
25,2021-09-19,NET2,1693,1382,291,1.225,0.5498,BU_ATLAS_Tier2,US,NET2_DATADISK
26,2021-09-19,Vega_MCORE,2961,2657,1673,1.1144,0.9804,SiGNET,ND,CERN-PROD_DATADISK
27,2021-09-19,Vega_MCORE,2961,2657,1673,1.1144,0.9804,SiGNET,ND,NDGF-T1_DATADISK
28,2021-09-19,SWT2_CPB,3950,3778,486,1.0455,0.9205,SWT2_CPB,US,SWT2_CPB_DATADISK
29,2021-09-19,UNI-FREIBURG,2531,2528,196,1.0012,0.8341,UNI-FREIBURG,DE,UNI-FREIBURG_DATADISK
30,2021-09-19,CERN-BACKFILL,3,3,0,1.0,0.9954,CERN-PROD,CERN,CERN-PROD_DATADISK
31,2021-09-19,MWT2_VHIMEM_UCORE,3,3,0,1.0,0.4044,MWT2,US,MWT2_DATADISK
32,2021-09-19,NCG-INGRID-PT,208,208,58,1.0,0.9185,NCG-INGRID-PT,ES,NCG-INGRID-PT_DATADISK
33,2021-09-19,MPPMU,1989,1993,131,0.998,0.9042,MPPMU,DE,MPPMU_DATADISK
34,2021-09-19,TRIUMF,2489,2634,42,0.945,0.9507,TRIUMF-LCG2,CA,TRIUMF-LCG2_DATADISK
35,2021-09-19,UKI-SCOTGRID-GLASGOW_CEPH,9638,10307,1105,0.9351,0.9786,UKI-SCOTGRID-GLASGOW,UK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK
36,2021-09-19,EELA-UTFSM,154,168,18,0.9167,0.8304,EELA-UTFSM,ES,EELA-UTFSM_DATADISK
37,2021-09-19,CERN-T0,12135,13318,1127,0.9112,0.8805,CERN-PROD,CERN,CERN-PROD_DATADISK
38,2021-09-19,UKI-LT2-QMUL,3674,4097,118,0.8968,0.9068,UKI-LT2-QMUL,UK,UKI-LT2-QMUL_DATADISK
39,2021-09-19,IN2P3-CC,9375,10572,693,0.8868,0.9292,IN2P3-CC,FR,IN2P3-CC_DATADISK
40,2021-09-19,DESY-HH,13519,15389,993,0.8785,0.9616,DESY-HH,DE,DESY-HH_DATADISK
41,2021-09-19,CA-VICTORIA-K8S-T2,4970,5683,237,0.8745,0.9411,CA-VICTORIA-WESTGRID-T2,CA,CA-VICTORIA-WESTGRID-T2_DATADISK
42,2021-09-19,GRIF-LAL,2082,2386,111,0.8726,0.938,GRIF,FR,GRIF-LAL_DATADISK
43,2021-09-19,UKI-SCOTGRID-DURHAM_SL7_UCORE,931,1107,197,0.841,0.8829,UKI-SCOTGRID-DURHAM,UK,UKI-SCOTGRID-DURHAM_DATADISK
44,2021-09-19,MWT2,25702,32351,1900,0.7945,0.9371,MWT2,US,MWT2_DATADISK
45,2021-09-19,ANALY_SiGNET_DIRECT,138,179,0,0.7709,0.6573,SiGNET,ND,NDGF-T1_DATADISK
46,2021-09-19,INFN-COSENZA-RECAS,1444,1880,238,0.7681,0.982,INFN-COSENZA,IT,INFN-COSENZA_DATADISK
47,2021-09-19,IN2P3-LPC,1413,1846,50,0.7654,0.9551,IN2P3-LPC,FR,IN2P3-LPC_DATADISK
48,2021-09-19,Taiwan-LCG2-HPC_Unified,384,502,15,0.7649,0.8747,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK
49,2021-09-19,LRZ-LMU,1296,1726,147,0.7509,0.7977,LRZ-LMU,DE,LRZ-LMU_DATADISK
50,2021-09-19,ZA-WITS-CORE,120,167,2,0.7186,0.8706,ZA-WITS-CORE,NL,ZA-WITS-CORE_DATADISK
51,2021-09-19,INFN-ROMA1,2253,3195,205,0.7052,0.959,INFN-ROMA1,IT,INFN-ROMA1_DATADISK
52,2021-09-19,NSC,1211,1719,44,0.7045,0.9778,NDGF-T1,ND,NDGF-T1_DATADISK
53,2021-09-19,HEPHY-UIBK,738,1056,0,0.6989,0.1052,HEPHY-UIBK,DE,LRZ-LMU_DATADISK
54,2021-09-19,Taiwan-LCG2-HPC2_Unified,297,425,6,0.6988,0.8427,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK
55,2021-09-19,AGLT2,6183,8871,579,0.697,0.9709,AGLT2,US,AGLT2_DATADISK
56,2021-09-19,HONGKONG,992,1431,270,0.6932,0.9584,HK-LCG2,FR,BEIJING-LCG2_DATADISK
57,2021-09-19,INFN-MILANO-ATLASC,1490,2173,59,0.6857,0.9547,INFN-MILANO-ATLASC,IT,INFN-MILANO-ATLASC_DATADISK
58,2021-09-19,TOKYO,5437,8024,496,0.6776,0.938,TOKYO-LCG2,FR,TOKYO-LCG2_DATADISK
59,2021-09-19,TECHNION,798,1196,498,0.6672,0.986,TECHNION-HEP,NL,TECHNION-HEP_DATADISK
60,2021-09-19,UKI-NORTHGRID-LANCS-HEP_TEST,2,3,0,0.6667,0.0,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP_DATADISK
61,2021-09-19,OU_OSCER_ATLAS_TEST,2,3,0,0.6667,0.6986,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_DATADISK
62,2021-09-19,UKI-NORTHGRID-LIV-HEP,1436,2159,150,0.6651,0.9839,UKI-NORTHGRID-LIV-HEP,UK,UKI-NORTHGRID-LIV-HEP_DATADISK
63,2021-09-19,UTA_SWT2_UCORE_RET,1658,2519,148,0.6582,0.9831,UTA_SWT2,US,SWT2_CPB_DATADISK
64,2021-09-19,wuppertal,5576,8574,269,0.6503,0.9661,wuppertalprod,DE,WUPPERTALPROD_DATADISK
65,2021-09-19,Vega,7465,11504,1957,0.6489,0.9624,SiGNET,ND,NDGF-T1_DATADISK
66,2021-09-19,BNL,17439,27804,1540,0.6272,0.9728,BNL-ATLAS,US,BNL-OSG2_DATADISK
67,2021-09-19,UKI-LT2-Brunel_SL7_UCORE,343,549,22,0.6248,0.9433,UKI-LT2-Brunel,UK,UKI-LT2-BRUNEL_DATADISK
68,2021-09-19,SLAC,369,593,25,0.6223,0.9651,WT2,US,SLACXRD_DATADISK
69,2021-09-19,ROMANIA07_HTCondor,2330,3751,168,0.6212,0.9648,RO-07-NIPNE,FR,RO-07-NIPNE_DATADISK
70,2021-09-19,TRIUMF_SIM,751,1228,9,0.6116,0.7474,TRIUMF-LCG2,CA,TRIUMF-LCG2_DATADISK
71,2021-09-19,GRIF-IRFU,1959,3208,68,0.6107,0.9808,GRIF,FR,GRIF-IRFU_DATADISK
72,2021-09-19,LRZ-LMU_VHIMEM,3,5,0,0.6,0.9899,LRZ-LMU,DE,LRZ-LMU_DATADISK
73,2021-09-19,CA-VICTORIA-K8S-TEST-T2,3,5,0,0.6,0.0,CA-VICTORIA-WESTGRID-T2,CA,CA-VICTORIA-WESTGRID-T2_DATADISK
74,2021-09-19,Australia-ATLAS,604,1026,15,0.5887,0.9724,Australia-ATLAS,CA,AUSTRALIA-ATLAS_DATADISK
75,2021-09-19,IN2P3-CPPM,2145,3651,228,0.5875,0.9601,IN2P3-CPPM,FR,IN2P3-CPPM_DATADISK
76,2021-09-19,RRC-KI-T1,1129,1941,42,0.5817,0.9542,RRC-KI-T1,RU,RRC-KI-T1_DATADISK
77,2021-09-19,UKI-LT2-IC-HEP_SL7_UCORE,34,59,95,0.5763,0.1386,UKI-LT2-IC-HEP,UK,UKI-LT2-QMUL_DATADISK
