,queue,site,cloud,rse,datetime
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,UNI-FREIBURG_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,IN2P3-LAPP_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,IN2P3-CC_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,PRAGUELCG2_DATADISK,09-24-2021
105,IN2P3-CPPM-TEST_LAKE,IN2P3-CPPM,FR,IN2P3-LPC_DATADISK,09-24-2021
106,IN2P3-CPPM_LAKE,IN2P3-CPPM,FR,IN2P3-CPPM_DATADISK,09-24-2021
106,IN2P3-CPPM_LAKE,IN2P3-CPPM,FR,IN2P3-LPSC_DATADISK,09-24-2021
106,IN2P3-CPPM_LAKE,IN2P3-CPPM,FR,IN2P3-LPC_DATADISK,09-24-2021
106,IN2P3-CPPM_LAKE,IN2P3-CPPM,FR,IN2P3-LAPP_DATADISK,09-24-2021
107,IN2P3-LAPP,IN2P3-LAPP,FR,IN2P3-LAPP_DATADISK,09-24-2021
108,IN2P3-LAPP-TEST,IN2P3-LAPP,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
109,IN2P3-LAPP-TEST_ALPAMED,IN2P3-LAPP,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
109,IN2P3-LAPP-TEST_ALPAMED,IN2P3-LAPP,FR,FR-ALPES_DATADISK_DATALAKES,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,GRIF-LPNHE_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,IN2P3-CPPM_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,CERN-PROD_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,IN2P3-LPSC_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,UNI-FREIBURG_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,IN2P3-LAPP_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,IN2P3-CC_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,PRAGUELCG2_DATADISK,09-24-2021
110,IN2P3-LAPP-TEST_LAKE,IN2P3-LAPP,FR,IN2P3-LPC_DATADISK,09-24-2021
111,IN2P3-LAPP_LAKE,IN2P3-LAPP,FR,IN2P3-CPPM_DATADISK,09-24-2021
111,IN2P3-LAPP_LAKE,IN2P3-LAPP,FR,IN2P3-LPSC_DATADISK,09-24-2021
111,IN2P3-LAPP_LAKE,IN2P3-LAPP,FR,IN2P3-LAPP_DATADISK,09-24-2021
111,IN2P3-LAPP_LAKE,IN2P3-LAPP,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
111,IN2P3-LAPP_LAKE,IN2P3-LAPP,FR,IN2P3-LPC_DATADISK,09-24-2021
112,IN2P3-LPC,IN2P3-LPC,FR,IN2P3-LPC_DATADISK,09-24-2021
113,IN2P3-LPC-MUC2A,IN2P3-LPC,FR,IN2P3-LPC_DATADISK,09-24-2021
114,IN2P3-LPC-TEST_ALPAMED,IN2P3-LPC,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
114,IN2P3-LPC-TEST_ALPAMED,IN2P3-LPC,FR,FR-ALPES_DATADISK_DATALAKES,09-24-2021
