,datetime,queue,running,defined,assigned,activated,starting,transferring,holding,throttled,queue_occupancy_rate,site,cloud,tier_level,rse
82,2021-09-19,CERN-T0_VHIMEM,9.0,,,12.0,,1.0,,,0.0,CERN-T0,CERN,0,CERN-PROD_DATADISK
83,2021-09-19,CYFRONET_DIRECT,1.0,,,6.0,,,,,0.0,CYFRONET-LCG2,DE,2,CYFRONET-LCG2_DATADISK
84,2021-09-19,DCSC,240.0,,53.0,2374.0,200.0,3.0,,,0.0,DCSC,ND,1,NDGF-T1_DATADISK
85,2021-09-19,DE-TARDIS,1047.0,,,2008.0,1.0,513.0,,,0.0,DE-TARDIS,DE,1,FZK-LCG2_DATADISK
86,2021-09-19,DESY-HH,12742.0,,40.0,1190.0,8.0,2325.0,,102.0,0.0,DESY-HH,DE,2,DESY-HH_DATADISK
87,2021-09-19,DESY-HH_HPC,,,,,106.0,7.0,,,0.0,DESY-HH,DE,2,DESY-HH_DATADISK
88,2021-09-19,DESY-ZN,4000.0,,16.0,3757.0,,2589.0,,216.0,0.0,DESY-ZN,DE,2,DESY-ZN_DATADISK
89,2021-09-19,EELA-UTFSM,449.0,,52.0,228.0,,187.0,,570.0,0.0,EELA-UTFSM,ES,2,EELA-UTFSM_DATADISK
90,2021-09-19,FRESNO-EKS-S3,,,,1.0,,,,,0.0,FRESNO-AWS,US,3,
91,2021-09-19,GRIF-LPNHE,1242.0,,140.0,469.0,14.0,398.0,,104.0,0.0,GRIF-LPNHE,FR,2,GRIF-LPNHE_DATADISK
92,2021-09-19,HEPHY-UIBK,213.0,,,533.0,,210.0,,,0.0,HEPHY-UIBK,DE,2,LRZ-LMU_DATADISK
93,2021-09-19,HONGKONG,867.0,,,854.0,4.0,187.0,,,0.0,HK-LCG2,FR,2,BEIJING-LCG2_DATADISK
94,2021-09-19,HPC2N,98.0,,38.0,,785.0,21.0,,,0.0,HPC2N,ND,1,NDGF-T1_DATADISK
95,2021-09-19,IEPSAS-Kosice,371.0,1.0,4.0,267.0,,34.0,,106.0,0.0,IEPSAS-Kosice-CC7,DE,2,IEPSAS-KOSICE_DATADISK
96,2021-09-19,IFIC,2512.0,,58.0,2650.0,6.0,349.0,,376.0,0.0,IFIC-LCG2,ES,2,IFIC-LCG2_DATADISK
97,2021-09-19,IFIC_MareNostrum4,9.0,,,,200.0,29.0,,,0.0,IFIC-LCG2,ES,2,IFIC-LCG2_DATADISK
98,2021-09-19,IL-TAU,580.0,,308.0,742.0,,91.0,,125.0,0.0,IL-TAU-HEP,NL,2,TECHNION-HEP_DATADISK
99,2021-09-19,IN2P3-CPPM_LAKE,24.0,,,176.0,192.0,25.0,,,0.0,IN2P3-CPPM_LAKE,FR,2,IN2P3-CPPM_DATADISK
100,2021-09-19,IN2P3-LAPP,3399.0,,97.0,973.0,10.0,533.0,,595.0,0.0,IN2P3-LAPP,FR,2,IN2P3-LAPP_DATADISK
101,2021-09-19,IN2P3-LAPP_LAKE,5.0,77.0,,185.0,,,,,0.0,in2p3-lapp_lake,FR,2,IN2P3-LAPP_DATADISK
102,2021-09-19,IN2P3-LPC-MUC2A,312.0,151.0,,165.0,,33.0,,52.0,0.0,IN2P3-LPC-ALPAMED,FR,3,IN2P3-LPC_DATADISK
103,2021-09-19,IN2P3-LPC_LAKE,3.0,25.0,,214.0,,1.0,,,0.0,IN2P3-LPC_LAKE,FR,2,IN2P3-LPC_DATADISK
104,2021-09-19,IN2P3-LPSC_LAKE,11.0,157.0,,202.0,,13.0,,,0.0,IN2P3-LPSC_LAKE,FR,2,IN2P3-LPSC_DATADISK
105,2021-09-19,INFN-COSENZA-RECAS,1420.0,,,117.0,,172.0,,,0.0,INFN-COSENZA-RECAS,IT,3,INFN-COSENZA_DATADISK
106,2021-09-19,INFN-FRASCATI,3326.0,,91.0,2980.0,10.0,675.0,,893.0,0.0,INFN-FRASCATI,IT,2,INFN-FRASCATI_DATADISK
107,2021-09-19,INFN-GENOVA,44.0,,,153.0,1.0,23.0,,,0.0,INFN-GENOVA,IT,3,INFN-GENOVA_DATADISK
108,2021-09-19,INFN-ROMA1,1457.0,,110.0,1226.0,3.0,477.0,,424.0,0.0,INFN-ROMA1,IT,2,INFN-ROMA1_DATADISK
109,2021-09-19,INFN-ROMA3,200.0,,,91.0,,42.0,,,0.0,INFN-ROMA3,IT,3,CERN-PROD_DATADISK
109,2021-09-19,INFN-ROMA3,200.0,,,91.0,,42.0,,,0.0,INFN-ROMA3,IT,3,INFN-ROMA3_DATADISK
110,2021-09-19,ITEP_PROD,,,,3.0,,,,,0.0,ITEP,RU,2,RRC-KI-T1_DATADISK
111,2021-09-19,LRZ-LMU_C2PAP_ES,,,,6.0,,,,,0.0,LRZ-LMU_C2PAP,DE,2,LRZ-LMU_DATADISK
112,2021-09-19,LRZ-LMU_C2PAP_ES_MCORE,,,,81.0,,,,,0.0,LRZ-LMU_C2PAP,DE,2,LRZ-LMU_DATADISK
113,2021-09-19,LRZ-LMU_CLOUD,9.0,,,223.0,,21.0,,,0.0,LRZ-LMU_CLOUD,DE,2,LRZ-LMU_DATADISK
114,2021-09-19,LRZ-LMU_VHIMEM,7.0,,,,3.0,,,,0.0,LRZ-LMU,DE,2,LRZ-LMU_DATADISK
115,2021-09-19,LUNARC,5.0,,,,3.0,,,,0.0,SE-SNIC-T2,ND,2,NDGF-T1_DATADISK
116,2021-09-19,MPPMU,1972.0,,323.0,2330.0,1.0,1731.0,1.0,,0.0,MPPMU,DE,2,MPPMU_DATADISK
117,2021-09-19,MWT2_VHIMEM_UCORE,4.0,,,6.0,,,,,0.0,MidwestT2,US,2,MWT2_DATADISK
118,2021-09-19,NCG-INGRID-PT,264.0,,58.0,535.0,3.0,147.0,,,0.0,NCG-INGRID-PT,ES,2,NCG-INGRID-PT_DATADISK
119,2021-09-19,NERSC_Cori_p2_ES_Test,,,,,,2.0,,,0.0,LBNL_CLOUD,US,3,SLACXRD_DATADISK
119,2021-09-19,NERSC_Cori_p2_ES_Test,,,,,,2.0,,,0.0,LBNL_CLOUD,US,3,BNLHPC_DATADISK
120,2021-09-19,NERSC_Cori_p2_mcore,200.0,,,,2032.0,,,,0.0,LBNL_CLOUD,US,3,BNLHPC_DATADISK
121,2021-09-19,NIKHEF,2106.0,,7.0,374.0,,4883.0,,90.0,0.0,NIKHEF,NL,1,NIKHEF_DATADISK
122,2021-09-19,OU_OSCER_ATLAS,335.0,,43.0,1016.0,136.0,145.0,,,0.0,OU_OSCER_ATLAS,US,2,OU_OSCER_ATLAS_DATADISK
123,2021-09-19,OU_OSCER_ATLAS_OPP,168.0,,230.0,647.0,,2.0,,,0.0,OU_OSCER_ATLAS,US,2,OU_OSCER_ATLAS_DATADISK
124,2021-09-19,PNPI_PROD,,,,3.0,,,,,0.0,ru-PNPI,RU,2,RRC-KI-T1_DATADISK
125,2021-09-19,RAL-LCG2_MCORE,638.0,,2078.0,1.0,207.0,1149.0,,,0.0,RAL-LCG2,UK,1,RAL-LCG2-ECHO_DATADISK
126,2021-09-19,RIVR.UM,327.0,,43.0,365.0,200.0,127.0,,,0.0,RIVR.UM,ND,3,NDGF-T1_DATADISK
127,2021-09-19,RO-14-ITIM,53.0,,99.0,107.0,,26.0,,,0.0,ITIM,FR,2,RO-07-NIPNE_DATADISK
128,2021-09-19,RO-16-UAIC,404.0,,,310.0,,129.0,,,0.0,RO-16-UAIC,FR,2,RO-07-NIPNE_DATADISK
129,2021-09-19,RRC-KI-T1,1499.0,,34.0,1652.0,4.0,402.0,,7.0,0.0,RRC-KI-T1,RU,1,RRC-KI-T1_DATADISK
130,2021-09-19,SAMPA,588.0,5.0,272.0,809.0,,331.0,,77.0,0.0,SAMPA,ES,2,PIC_DATADISK
